
0.3486,0.8967,15.2974,0.2987

0.1945,0.9420,7.0229,0.3575

0.1606,0.9519,1.7855,0.6954

0.1389,0.9577,4.3696,0.4994

0.1166,0.9649,3.2591,0.4247

0.1108,0.9663,0.7380,0.8345

0.1010,0.9682,3.2724,0.5525

0.0861,0.9738,0.6325,0.8579

0.0831,0.9747,1.0819,0.7841

0.0749,0.9774,2.1709,0.6095

0.0691,0.9786,2.6580,0.5584

0.0625,0.9803,0.5747,0.8563

0.0568,0.9820,1.9426,0.6994

0.0598,0.9816,1.5830,0.7006

0.0550,0.9826,2.1165,0.6570

0.0550,0.9828,3.4103,0.5999

0.0473,0.9856,1.0064,0.7881

0.0436,0.9860,0.8267,0.8202

0.0443,0.9865,1.0875,0.8240

0.0433,0.9863,1.9625,0.7404

0.0463,0.9859,1.3958,0.7389

0.0382,0.9881,1.4343,0.7904

0.0393,0.9875,1.2465,0.7920

0.0325,0.9899,0.9737,0.8704

0.0362,0.9888,3.3569,0.5976

0.0322,0.9905,1.1974,0.8024

0.0359,0.9890,0.6024,0.8853

0.0294,0.9905,0.5162,0.9079

0.0303,0.9906,1.2792,0.7724

0.0312,0.9903,0.4440,0.9197
