
use

0.3514,0.9193,3.2200,0.4870

0.1664,0.9568,2.6007,0.4682

0.1253,0.9640,0.3641,0.9030

0.1142,0.9701,0.5051,0.8822

0.0900,0.9746,0.1608,0.9523

0.0618,0.9820,0.1613,0.9580

0.0534,0.9831,0.1660,0.9630

0.0510,0.9843,0.1922,0.9532

0.0430,0.9872,0.2270,0.9536

0.0394,0.9881,1.0327,0.9714

0.0287,0.9908,0.7026,0.9729

0.0257,0.9920,2.5110,0.9643

0.0256,0.9922,9.0404,0.9682

0.0262,0.9920,231.1606,0.9639

0.0306,0.9920,103.0156,0.9709

0.0256,0.9923,79.3011,0.9681

0.0175,0.9945,248.1194,0.9721

0.0159,0.9951,227.7727,0.9736

0.0148,0.9957,503.8175,0.9722

0.0104,0.9968,318.5670,0.9729

0.0155,0.9955,516.6039,0.9717

0.0129,0.9961,511.2753,0.9756

0.0103,0.9969,490.9320,0.9716

0.0085,0.9975,460.3444,0.9788

0.0093,0.9969,711.8253,0.9630

0.0091,0.9973,111.4498,0.9742

0.0103,0.9970,141.5053,0.9731

0.0078,0.9977,734.0399,0.9757

0.0078,0.9979,87.2402,0.9786

0.0094,0.9971,324.0353,0.9249
