
7.2176,0.8592,76.9503,0.2175

4.2002,0.9071,63.0004,0.2823

3.6045,0.9181,53.0516,0.2613

2.7595,0.9316,39.3811,0.5048

2.5199,0.9375,18.5985,0.5610

2.2692,0.9392,10.1259,0.6455

1.9325,0.9476,14.8393,0.6470

1.7302,0.9514,14.8729,0.6793

1.5131,0.9559,11.3109,0.7464

1.5344,0.9566,19.8308,0.6320

1.5426,0.9571,34.3689,0.5378

1.3115,0.9612,29.4196,0.5362

1.2178,0.9617,15.2988,0.6774

1.2076,0.9639,16.3802,0.7435

1.1624,0.9637,6.5970,0.8158

1.0666,0.9670,13.9215,0.6836

1.0765,0.9663,6.4792,0.7968

0.9736,0.9688,11.6794,0.7452

1.0205,0.9676,7.4513,0.8315

0.9292,0.9699,5.5895,0.8496

0.8517,0.9715,5.4872,0.8460

0.8536,0.9715,3.1946,0.9122

0.8364,0.9730,8.1621,0.8059

0.8946,0.9714,12.6341,0.7126

0.8268,0.9725,5.4738,0.8658

0.7222,0.9748,6.1416,0.8471

0.7003,0.9754,2.7970,0.9198

0.7573,0.9748,7.7103,0.8246

0.6229,0.9776,2.9792,0.9231

0.6681,0.9765,9.5830,0.7841
